country,population,source
China,1399450000,Official population clock
India,1353230000,Official population clock
United States,330025000,Official population clock
Indonesia,268074600,Official annual projection
Brazil,210537000,Official population clock
Pakistan,206261000,Official population clock
Nigeria,200963599,UN Projection
Bangladesh,167370000,Official population clock
nan,146793744,Official estimate
Mexico,126577691,Official annual projection
Japan,126150000,Monthly provisional estimate
Philippines,108340000,Official population clock
Egypt,99390900,Official population clock
Ethiopia,98665000,Official annual projection
Viet Nam,96208984,Preliminary 2019 census result
"Congo, The Democratic Republic of the",86790567,UN Projection
Germany,83042200,Official estimate
Iran,82845400,Official population clock
Turkey,82003882,Official annual estimate
France,67055000,Monthly official estimate
United Kingdom,66435600,Official annual estimate
Thailand,66419630,Official population clock
Italy,60278616,Monthly official estimate
South Africa,58775022,Official annual estimate
Tanzania,55890747,Official annual projection
Myanmar,54339766,Official annual projection
Kenya,52573973,UN projection
"Korea, Republic of",51811167,Official annual estimate
Colombia,48258494,2018 census results
Spain,46934632,Official estimate
Argentina,44938712,Official annual projection
Algeria,43378027,Official annual projection
Ukraine,41990278,Monthly official estimate
Sudan,41924110,Official population clock
Uganda,40006700,Official annual projection
Iraq,39127900,Official annual projection
Poland,38386000,Official estimate
Canada,37770900,Official population clock
Morocco,35685100,Official population clock
Saudi Arabia,34218169,Official estimate
Uzbekistan,33762608,Official population clock
Malaysia,32623200,Official population clock
Afghanistan,32225560,Official annual estimate
Venezuela,32219521,Official annual projection
Peru,32131400,Official annual projection
Ghana,30280811,Official projection
Angola,30175553,Official projection
Nepal,29609623,Official annual projection
Yemen,29161922,UN projection
Mozambique,27909798,Official census result
Côte d'Ivoire,25823071,Official projection
Madagascar,25680342,Provisional 2018 census result
Australia,25527200,Official population clock
North Korea,25450000,Official annual projection
Cameroon,24348251,Official annual projection
Taiwan,23593794,Monthly official estimate
Niger,22314743,Official annual projection
Sri Lanka,21803000,Official estimate
Burkina Faso,20870060,Official annual projection
Mali,19973000,Official annual projection
Romania,19405156,Official annual estimate
Chile,19107216,Official annual projection
Kazakhstan,18564824,Official population clock
Malawi,17563749,Preliminary 2018 census result
Zambia,17381168,Official annual projection
Netherlands,17350100,Official population clock
Ecuador,17336400,Official population clock
Syrian Arab Republic,17070135,UN projection
Senegal,16209125,Official annual projection
Chad,15692969,Official annual projection
Somalia,15442905,UN projection
Cambodia,15288489,Provisional 2019 census result
Zimbabwe,15159624,Official annual projection
Guatemala,14901286,2018 census result
South Sudan,12778250,Official annual projection
Rwanda,12374397,Official projection annual
Guinea,12218357,Official projection
Benin,11733059,Official projection annual
Haiti,11577779,Official annual projection
Tunisia,11551448,Official estimate
Belgium,11485729,Monthly official estimate
Bolivia,11469896,Official projection annual
Cuba,11209628,Official annual estimate
Burundi,10953317,Official annual projection
Greece,10741165,Official estimate
Czech Republic,10668641,Official quarterly estimate
Jordan,10520500,Official population clock
Dominican Republic,10358320,Official projection
Sweden,10290832,Official monthly estimate
Portugal,10276617,Official annual estimate
Azerbaijan,10027874,Official estimate
Hungary,9772756,Official estimate
United Arab Emirates,9770529,UN projection
Belarus,9456200,Official quarterly estimate
Honduras,9158345,Official annual projection
Tajikistan,9127000,Official estimate
Israel,9097680,Official population clock
Austria,8877036,Quarterly provisional figure
